stop_id,route_types
3185127,3
3185128,3
3185129,3
3185130,3
3185131,3
3185132,3
3185133,3
3185134,3
3185135,3
3185136,3
3185137,3
3185139,3
3185140,3
3185141,3
3185144,3
3185145,3
3185146,3
3185147,3
3185148,3
3185149,3
3185150,3
3185151,3
3185152,3
3185153,3
3185154,3
3185155,3
3185156,3
3185157,3
3185158,3
3185159,3
3185160,3
3185161,3
3185162,3
3185163,3
3185164,3
3185165,3
3185166,3
3185167,3
3185168,3
3185170,3
3185171,3
3185172,3
3185173,3
3185176,3
3185177,3
3185178,3
3185179,3
3185180,3
3185181,3
3185182,3
3185183,3
3185184,3
3185185,3
3185186,3
3185187,3
3185188,3
3185189,3
3185190,3
3185191,3
3185192,3
3185193,3
3185194,3
3185195,3
3185197,3
3185198,3
3185199,3
3185202,3
3185206,3
3185207,3
3185209,3
3185212,3
3185213,3
3185215,3
3185216,3
3185217,3
3185218,3
3185219,3
3185220,3
3185221,3
3185222,3
3185223,3
3185224,3
3185225,3
3185226,3
3185229,3
3185232,3
3185233,3
3185234,3
3185235,3
3185236,3
3185237,3
3185238,3
3185239,3
3185240,3
3185241,3
3185242,3
3185243,3
3185244,3
3185245,3
3185246,3
3185247,3
3185248,3
3185249,3
3185250,3
3185251,3
3185252,3
3185253,3
3185254,3
3185256,3
3185257,3
3185258,3
3185259,3
3185260,3
3185261,3
3185262,3
3185263,3
3185264,3
3185265,3
3185266,3
3185267,3
3185268,3
3185269,3
3185270,3
3185271,3
3185272,3
3185273,3
3185274,3
3185275,3
3185276,3
3185277,3
3185278,3
3185279,3
3185280,3
3185282,3
3185283,3
3185284,3
3185285,3
3185286,3
3185288,3
3185289,3
3185290,3
3185291,3
3185292,3
3185293,3
3185294,3
3185295,3
3185296,3
3185297,3
3185298,3
3185299,3
3185300,3
3185301,3
3185302,3
3185303,3
3185305,3
3185306,3
3185307,3
3185308,3
3185309,3
3185310,3
3185311,3
3185312,3
3185313,3
3185314,3
3185315,3
3185316,3
3185317,3
3185318,3
3185319,3
3185320,3
3185321,3
3185322,3
3185323,3
3185324,3
3185325,3
3185326,3
3185327,3
3185328,3
3185329,3
3185332,3
3185333,3
3185334,3
3185335,3
3185336,3
3185338,3
3185339,3
3185340,3
3185341,3
3185342,3
3185343,3
3185344,3
3185345,3
3185346,3
3185347,3
3185348,3
3185349,3
3185350,3
3185351,3
3185352,3
3185353,3
3185354,3
3185355,3
3185356,3
3185357,3
3185358,3
3185359,3
3185360,3
3185361,3
3185362,3
3185363,3
3185364,3
3185365,3
3185366,3
3185367,3
3185368,3
3185369,3
3185370,3
3185371,3
3185372,3
3185373,3
3185374,3
3185375,3
3185376,3
3185377,3
3185378,3
3185379,3
3185380,3
3185381,3
3185382,3
3185383,3
3185384,3
3185385,3
3185386,3
3185387,3
3185388,3
3185389,3
3185400,3
3185401,3
3185403,3
3185405,3
3185407,3
3185411,3
3185413,3
3185414,3
3185415,3
3185416,3
3185417,3
3185420,3
3185423,3
3185424,3
3185425,3
3185426,3
3185427,3
3185428,3
3185429,3
3185432,3
3185433,3
3185440,3
3185441,3
3185447,3
3185449,3
3185450,3
3185455,3
3185457,3
3185459,3
3185461,3
3185462,3
3185463,3
3185471,3
3185472,3
3185473,3
3185474,3
3185475,3
3185476,3
3185477,3
3185478,3
3185479,3
3185480,3
3185481,3
3185482,3
3185483,3
3185484,3
3185485,3
3185488,3
3185489,3
3185491,3
3185493,3
3185494,3
3185495,3
3185502,3
3185503,3
3185508,3
3185509,3
3185510,3
3185511,3
3185512,3
3185514,3
3185523,3
3185524,3
3185525,3
3185526,3
3185527,3
3185528,3
3185529,3
3185530,3
3185531,3
3185532,3
3185533,3
3185534,3
3185535,3
3185536,3
3185537,3
3185538,3
3185539,3
3185540,3
3185541,3
3185542,3
3185543,3
3185544,3
3185545,3
3185546,3
3185547,3
3185548,3
3185549,3
3185550,3
3185551,3
3185552,3
3185553,3
3185554,3
3185555,3
3185556,3
3185558,3
3185559,3
3185560,3
3185561,3
3185562,3
3185563,3
3185564,3
3185565,3
3185566,3
3185571,3
3185572,3
3185573,3
3185574,3
3185575,3
3185576,3
3185577,3
3185578,3
3185579,3
3185580,3
3185581,3
3185582,3
3185583,3
3185584,3
3185585,3
3185586,3
3185587,3
3185588,3
3185589,3
3185590,3
3185591,3
3185592,3
3185593,3
3185594,3
3185595,3
3185596,3
3185597,3
3185599,3
3185600,3
3185601,3
3185602,3
3185603,3
3185604,3
3185605,3
3185606,3
3185607,3
3185608,3
3185609,3
3185610,3
3185611,3
3185612,3
3185613,3
3185614,3
3185615,3
3185616,3
3185617,3
3185618,3
3185619,3
3185624,3
3185625,3
3185626,3
3185627,3
3185630,3
3185631,3
3185632,3
3185635,3
3185636,3
