stop_id,stop_name,stop_lat,stop_lon
3237566,"Eerbeek, Loubergweg",52.099315,6.062942
3237567,"Eerbeek, Loubergweg",52.099199,6.062925
3237568,"Eerbeek, Ringlaan",52.105725,6.05177
3237569,"Eerbeek, Ringlaan",52.105783,6.052559
3237570,"Eerbeek, Vondellaan",52.105995,6.057992
3237571,"Eerbeek, Vondellaan",52.105965,6.055437
3237572,"Stroe, Heetweg",52.157948,5.716578
3237573,"Stroe, Topperweg",52.165682,5.704927
3237574,"Stroe, Topperweg",52.166043,5.704681
3237575,"Stroe, Kootwijkerdijk",52.16826,5.702212
3237576,"Stroe, Kootwijkerdijk",52.168404,5.702243
3237577,"Ede, Dennenlaan",52.034514,5.671847
3237578,"Ede, Dennenlaan",52.033912,5.671916
3237579,"Ede, Ericalaan",52.037716,5.671139
3237580,"Ede, Ericalaan",52.037707,5.670906
3237581,"Ede, Centrum/Raadhuis",52.046454,5.674256
3237582,"Ede, Centrum/Raadhuis",52.046561,5.674635
3237583,"Ede, De Bosrand",52.054307,5.678709
3237584,"Ede, De Bosrand",52.054093,5.678022
3237585,"Ede, Driesprong",52.065426,5.689165
3237586,"Ede, Driesprong",52.065478,5.689851
3237587,"Ede, Hoge Valksedijk",52.074317,5.692084
3237588,"Ede, Hoge Valksedijk",52.074568,5.692261
3237589,"Ede, De Valouwe",52.084527,5.695538
3237590,"Ede, De Valouwe",52.084527,5.695611
3237591,"Ede, Wekeromse Zand",52.102689,5.703662
3237592,"De Valk, School met de Bijbel",52.119033,5.68484
3237593,"De Valk, School met de Bijbel",52.119095,5.685089
3237594,"De Valk, Geref. Gemeente",52.121247,5.694302
3237595,"De Valk, Geref. Gemeente",52.121185,5.693922
3237596,"De Valk, Lage Valkseweg",52.120151,5.700865
3237597,"De Valk, Cooperatie",52.120685,5.671126
3237598,"De Valk, Cooperatie",52.120793,5.670864
3237599,"Lunteren, De Wormshoef",52.09212,5.618078
3237600,"Lunteren, De Wormshoef",52.092876,5.617615
3237601,"Meulunteren, Rehoboth",52.119844,5.654154
3237602,"Meulunteren, Rehoboth",52.119943,5.654038
3237603,"Meulunteren, Bijweg",52.108606,5.643037
3237604,"Meulunteren, Bijweg",52.10832,5.642437
3237605,"Meulunteren, Hessenweg",52.10452,5.637438
3237606,"Meulunteren, Hessenweg",52.10452,5.637321
3237607,"Barneveld, Julianaplein",52.137013,5.594983
3237608,"Barneveld, Julianaplein",52.13643,5.594455
3237609,"Barneveld, Van Dompselaerstraat",52.135593,5.589908
3237610,"Barneveld, Van Dompselaerstraat",52.135278,5.590243
3237611,"Barneveld, Nijkerkerweg",52.165397,5.573235
3237612,"Barneveld, Nijkerkerweg",52.165424,5.573308
3237613,"Barneveld, Evenementenhal",52.149036,5.569763
3237614,"Barneveld, Evenementenhal",52.150574,5.568746
3237615,"Barneveld, Troelstralaan",52.145177,5.577358
3237616,"Barneveld, Troelstralaan",52.145231,5.577402
3237618,"Amersfoort, GSG Arnhemseweg",52.148189,5.387437
3237619,"A'foort, Hoornbeeck/Van Lodenstein",52.138108,5.353169
3237620,"Driedorp, Bulderweg",52.199644,5.525372
3237621,"Driedorp, Bulderweg",52.199662,5.52543
3237622,"Driedorp, Peerweg",52.192493,5.530658
3237623,"Driedorp, Peerweg",52.191288,5.531123
3237624,"Driedorp, Slichtenhorsterweg",52.207239,5.517656
3237625,"Driedorp, Slichtenhorsterweg",52.207293,5.517627
3237626,"Appel, Appelsestraat",52.185684,5.53476
3237627,"Appel, Appelsestraat",52.185819,5.534731
3237628,"Appel, Akkerweg",52.180429,5.539158
3237629,"Appel, Akkerweg",52.180528,5.539129
3237630,"Nijkerk, Kievitslaan",52.215788,5.498396
3237631,"Nijkerk, Kievitslaan",52.215896,5.498469
3242780,"Westbeemster, Kerkplein (belbushalte)",52.574979,4.899693
3244238,"Rijswijk, Wilhelminapark",52.022679,4.327956
