stop_id,stop_name
2993326,Lochem
2993329,Leiden Lammenschans
2993332,Leerdam
2993333,Leerdam
2993336,Leiden Centraal
2993337,Leiden Centraal
2993339,Leiden Centraal
2993340,Leiden Centraal
2993341,Leiden Centraal
2993342,Leiden Centraal
2993343,Leiden Centraal
2993345,Leiden Centraal
2993346,Leiden Centraal
2993348,Leiden Centraal
2993349,Leiden Centraal
2993356,Landgraaf
2993357,Landgraaf
2993358,Landgraaf
2993364,Lille Europe
2993366,Linz Hbf
2993381,Lansingerland-Zoetermeer
2993382,Lansingerland-Zoetermeer
2993392,Lunteren
2993393,Lunteren
2993396,Lichtenvoorde-Groenlo
2993397,Lichtenvoorde-Groenlo
2993399,Liège-Guillemins
2993402,Geleen-Lutterade
2993403,Geleen-Lutterade
2993406,Leeuwarden
2993407,Leeuwarden
2993408,Leeuwarden
2993409,Leeuwarden
2993410,Leeuwarden
2993413,Leeuwarden
2993414,Leeuwarden
2993417,Leeuwarden Camminghaburen
2993421,Augsburg Hbf
2993423,Mannheim Hbf
2993425,Marne-la-Vallée-Chessy
2993430,Maarssen
2993431,Maarssen
2993433,Mönchengladbach Hbf
2993436,Middelburg
2993437,Middelburg
2993439,Mechelen
2993442,Meerssen
2993443,Meerssen
2993446,Mantgum
2993447,Mantgum
2993458,Meppel
2993459,Meppel
2993461,Meppel
2993465,Mariënberg
2993466,Mariënberg
2993467,Mariënberg
2993470,Maarn
2993471,Maarn
2993474,Maastricht
2993475,Maastricht
2993476,Maastricht
2993477,Maastricht
2993478,Maastricht
2993479,Maastricht
2993480,Maastricht
2993481,Maastricht
2993484,Martenshoek
2993485,Martenshoek
2993488,Maastricht Noord
2993489,Maastricht Noord
2993492,Maastricht Randwyck
2993493,Maastricht Randwyck
2993494,Maastricht Randwyck
2993496,München Hbf
2993498,Münster (Westf) Hbf
2993501,Maarheeze
2993502,Maarheeze
2993505,Nieuw Amsterdam
2993506,Nieuw Amsterdam
2993510,Naarden-Bussum
2993511,Naarden-Bussum
2993515,Nuth
2993516,Nuth
2993519,Nijkerk
2993520,Nijkerk
2993524,Nijmegen
2993525,Nijmegen
2993526,Nijmegen
2993527,Nijmegen
2993530,Nijmegen
2993535,Nijmegen Dukenburg
2993536,Nijmegen Dukenburg
2993539,Nijmegen Goffert
2993540,Nijmegen Goffert
2993543,Nijmegen Heyendaal
2993544,Nijmegen Heyendaal
2993551,Nunspeet
2993552,Nunspeet
2993555,Bad Nieuweschans
2993556,Bad Nieuweschans
2993558,Nürnberg Hbf
2993561,Nijverdal
2993562,Nijverdal
2993565,Nieuw Vennep
2993566,Nieuw Vennep
2993569,Nieuwerkerk a/d IJssel
2993570,Nieuwerkerk a/d IJssel
2993575,Oss
2993576,Oss
2993579,Obdam
